,commutepublic_1,equipten,tollten,card2type_3,tenure,bfast_2,card2benefit_3,reason_2,card2_2,cars_1,creddebt,polcontrib_1,pets_small,longmon,ownpda_1,age,townsize_3.0,spousedcat_5,card_3,ownvcr_1,card2_5,commute_2,debtinc,tollmon,card2type_2,vote_1,forward_1,card2benefit_2,ownipod_1,reason_9,inccat_5,carcatvalue_1,spousedcat_4,commuterail_1,employ,card2_3,townsize_4.0,polparty_1,card_2,spousedcat_1,telecommute_1,agecat_6,response_01_1,response_02_1,owncd_1,carown_0,card2fee_1,ownpc_1,cars_7,agecat_3,longten,spousedcat_2,commutemotorcycle_1,spousedcat_3,wireten,carvalue,cardtype_4,card2tenure,carown_1,equipmon,hourstv,cardfee_1,cars_4,income,cars_6,cars_5,cars_2,agecat_5,townsize_2.0,jobsat_4,townsize_5.0,pets_saltfish,cardtenure,region_3,cardten,voice_1,retire_1,othdebt,churn_1,card2benefit_4,ed,card2_4,owngame_1,cardmon,polview_6,reason_4,commute_4,confer_1,pets,edcat_5,carcatvalue_3,pets_freshfish,commutebus_1,commute_3,cardtype_3,spoused,response_03_1,region_4,address,commute_10,commute_8,commutetime,card_5,union_1,card_4,owntv_1,edcat_4,reside,tollfree_1,wiremon,commute_9
11,0,0.0,0.0,0,9,0,1,0,1,0,0.130131,0,0,3.6,0,33,0,0,1,0,0,0,0.8999999999999999,0.0,1,0,0,0,0,0,0,1,0,0,4.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,37.0,0,0,0,0.0,9.3,0,2,1,0.0,27,0,0,19.0,0,0,1,0,0,1,0,0,6,0,0.0,0,0,0.04086899999999999,1,0,8,0,0,0.0,0,0,1,0,6.0,0,0,6,1,0,0,9,0,0,5.0,0,0,28.0,0,0,0,1,0,5,0,0.0,0
12,0,0.0,0.0,1,5,0,0,0,0,1,1.250928,0,0,6.75,0,44,0,0,0,1,0,0,2.8000000000000003,0.0,0,1,1,0,0,1,0,0,0,0,12.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,29.9,0,0,0,0.0,38.5,1,1,1,0.0,21,1,0,73.0,0,0,0,0,1,0,0,0,1,0,30.0,0,0,0.793072,0,0,10,0,0,7.0,0,0,0,1,1.0,0,0,0,0,0,0,-1,0,0,9.0,0,0,25.0,0,0,1,1,0,1,0,0.0,0
13,0,0.0,1776.7,0,58,0,0,0,0,0,1.9249649999999996,0,0,12.1,0,58,0,0,0,1,0,0,10.5,30.75,0,1,1,0,0,1,0,0,0,0,3.0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,680.75,0,0,0,0.0,-1.0,0,17,0,0.0,21,0,0,63.0,0,0,0,1,1,0,0,0,25,1,1415.0,0,0,4.690035,0,0,18,0,0,24.5,0,0,0,1,0.0,0,0,0,1,1,1,-1,0,0,32.0,0,0,16.0,0,0,1,1,1,1,1,0.0,0
14,0,1275.40625,0.0,0,67,0,1,0,0,1,1.276156,0,0,13.9,0,72,0,0,1,1,0,0,9.8,0.0,0,1,1,0,0,1,0,1,1,0,27.0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,954.05,0,0,0,0.0,9.3,0,26,1,38.55,24,0,0,17.0,0,0,0,0,0,1,0,0,33,0,1525.0,0,1,0.3898440000000001,0,0,20,1,1,23.25,0,0,0,0,0.0,1,0,0,1,0,0,17,0,0,14.0,1,0,32.0,0,1,0,1,0,2,0,0.0,0
15,0,0.0,1919.0,0,72,1,0,1,0,0,0.934743,1,0,32.825,0,66,0,0,1,1,0,0,9.3,27.0,1,1,1,0,0,0,0,1,0,1,31.0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,2126.825,1,0,0,224.90625,11.600000000000001,0,30,1,0.0,22,0,0,23.0,0,0,0,0,0,0,0,0,40,1,2700.0,1,1,1.2042569999999997,0,0,13,1,0,56.875,0,0,0,1,9.0,0,0,6,0,0,1,12,1,0,29.0,0,0,14.0,0,1,0,1,0,2,1,43.25,0
16,0,1275.40625,1444.65,0,48,0,0,0,0,0,1.803195,0,0,4.15,1,57,0,0,0,1,0,0,9.5,28.75,1,0,0,0,1,1,1,0,0,0,24.0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,214.85,0,1,1,224.90625,63.949999999999996,0,13,1,43.15,17,0,0,131.5,0,0,1,1,0,0,0,0,19,0,1315.0,1,0,9.316497750000002,0,1,17,0,1,29.25,0,0,0,1,1.0,0,1,0,0,0,0,16,1,0,8.0,0,0,19.0,0,0,1,1,1,3,1,40.2,0
17,0,0.0,2213.625,1,70,0,1,0,1,0,4.58127075,0,0,32.825,0,63,0,1,1,1,0,0,10.7,45.25,0,1,1,0,0,1,1,0,0,1,29.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2126.825,0,0,0,0.0,63.949999999999996,0,29,1,0.0,24,0,0,131.5,0,0,0,1,1,1,0,0,36,0,1325.0,1,0,9.316497750000002,0,0,14,0,0,19.75,0,0,0,1,0.0,0,1,0,0,0,1,20,0,0,29.0,0,0,29.0,0,1,0,1,0,2,1,0.0,0
18,0,0.0,1099.65,1,34,0,1,0,0,0,0.19099200000000002,0,0,3.45,1,28,0,0,0,1,0,0,4.8,33.0,0,0,1,0,0,1,0,0,0,0,4.0,1,0,1,1,0,1,0,1,0,1,0,0,0,0,1,110.45,1,0,0,0.0,-1.0,0,10,0,0.0,16,0,0,23.0,0,0,0,0,0,0,1,0,10,0,545.0,0,0,0.913008,0,0,11,0,0,16.5,0,0,1,1,10.0,0,0,9,1,0,0,12,0,0,5.0,0,0,30.0,0,0,0,1,0,3,1,0.0,0
19,0,341.75,0.0,0,14,0,0,0,0,0,0.6922079999999999,1,0,7.3,0,78,0,0,0,1,0,0,15.2,0.0,1,0,0,1,1,1,0,1,0,0,10.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,85.6,0,0,0,0.0,10.8,0,7,1,24.85,22,0,0,22.0,0,0,1,0,0,0,0,0,10,0,350.0,0,1,2.651792,0,0,16,0,0,31.75,0,0,0,0,0.0,0,0,0,0,1,1,-1,0,0,29.0,0,0,23.0,0,0,0,1,0,1,0,0.0,0
20,0,0.0,0.0,0,53,0,1,0,0,0,1.2337150000000001,0,0,11.2,0,61,1,0,0,1,0,0,10.100000000000001,0.0,1,0,1,0,1,1,0,1,0,0,4.0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,567.05,1,0,0,0.0,9.4,1,15,0,0.0,25,0,1,35.0,0,0,0,1,0,0,0,0,27,1,480.0,1,0,2.301285,0,0,16,1,1,9.5,0,0,0,1,0.0,0,0,0,1,0,0,12,0,0,29.0,0,0,34.0,0,0,0,1,0,2,0,0.0,0
21,0,0.0,1366.65,0,59,1,0,0,0,0,1.1952360000000002,0,0,14.25,0,70,0,0,0,1,0,0,9.3,23.5,1,1,0,0,0,1,0,1,1,0,2.0,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,805.8,0,0,0,0.0,15.700000000000001,0,17,1,0.0,21,1,0,28.0,0,1,0,0,0,0,0,0,26,0,840.0,0,0,1.408764,1,1,17,1,1,15.25,1,0,0,1,9.0,0,0,8,0,0,0,17,0,0,14.0,0,0,29.0,0,1,0,1,1,2,1,0.0,0
22,0,1275.40625,0.0,1,61,1,0,0,0,0,0.56502,0,0,8.35,0,61,0,0,0,1,0,0,21.5,0.0,0,0,0,0,0,1,0,1,0,0,18.0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,476.95,0,0,0,0.0,5.800000000000001,0,22,1,29.1,13,0,0,12.0,0,0,0,1,0,0,0,0,24,0,675.0,0,1,2.01498,0,0,14,0,1,11.5,0,0,1,0,0.0,0,0,0,1,0,0,-1,0,1,12.0,0,0,25.0,0,0,0,1,0,1,0,0.0,0
23,0,1275.40625,1028.1,0,39,0,0,0,0,0,3.319137,0,0,13.1,1,37,0,0,0,0,0,0,15.7,28.5,1,0,1,1,1,1,0,0,0,1,2.0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,504.45,0,0,0,224.90625,-1.0,0,11,0,43.5,21,1,0,29.0,0,0,0,0,0,0,0,0,12,1,380.0,1,0,1.233863,0,0,11,1,1,10.5,0,0,0,1,0.0,0,0,0,1,0,0,-1,0,0,10.0,0,0,29.0,1,1,0,1,0,1,1,31.5,0
24,0,0.0,93.0,0,6,0,0,0,0,0,4.58127075,1,0,1.5,0,39,1,0,0,1,0,0,11.3,13.25,1,1,1,1,1,1,1,0,0,1,5.0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,11.15,1,0,0,0.0,49.2,1,1,1,0.0,32,1,0,130.0,0,0,1,0,0,0,0,0,2,0,140.0,0,0,9.316497750000002,0,0,12,0,0,24.5,0,0,0,1,5.0,0,1,5,1,0,0,14,0,0,12.0,0,0,32.0,0,0,1,1,0,4,1,0.0,0
25,0,1275.40625,1031.4,0,62,0,0,0,0,1,1.1641679999999999,0,0,25.45,1,73,1,0,0,1,0,0,14.799999999999999,17.75,1,0,1,0,1,1,0,0,0,0,28.0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1565.6,0,0,1,224.90625,22.8,0,24,1,47.15,22,0,0,69.0,0,0,0,0,0,0,0,0,32,0,595.0,1,1,9.047832,0,1,14,0,1,10.0,0,0,0,1,0.0,0,0,0,1,0,0,15,0,1,38.0,0,0,27.0,0,0,0,1,0,2,1,52.40625,0
26,0,728.55,0.0,0,26,0,1,0,0,0,1.297296,1,0,5.8,0,26,0,0,0,1,0,0,11.700000000000001,0.0,1,0,0,0,1,1,0,1,1,0,0.0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,149.4,0,0,0,0.0,9.8,0,4,0,27.05,17,1,1,24.0,0,0,0,0,0,0,0,0,8,0,145.0,0,0,1.5107040000000003,1,0,16,0,1,5.5,1,0,0,0,1.0,0,0,0,0,0,0,17,0,0,5.0,0,0,27.0,0,0,1,1,0,6,0,0.0,0
27,0,172.75,0.0,1,11,0,0,0,0,0,1.3925800000000002,1,0,3.95,0,24,0,0,0,1,0,0,14.000000000000002,0.0,0,1,0,0,1,1,0,0,0,0,1.0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,42.4,0,0,0,0.0,-1.0,0,5,0,19.65,13,0,0,29.0,0,0,0,0,0,0,0,0,5,0,0.0,0,0,2.6674200000000003,1,0,17,0,1,0.0,1,0,0,0,12.0,0,0,10,0,0,0,-1,0,0,4.0,1,0,14.0,0,0,1,1,1,1,0,0.0,0
28,0,0.0,2213.625,0,72,1,0,0,0,0,0.255816,1,0,32.825,0,77,0,0,0,1,0,0,10.2,61.25,0,0,0,0,0,1,0,1,0,1,26.0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,2126.825,0,0,0,0.0,3.1,0,30,1,0.0,23,0,0,11.0,0,0,1,0,0,0,0,0,39,1,2700.0,0,1,0.8661839999999998,0,0,15,1,0,40.75,0,0,0,0,2.0,0,0,0,1,0,0,-1,0,0,53.5,0,0,21.0,0,0,0,1,0,1,1,0.0,0
29,0,0.0,0.0,0,37,0,0,0,1,0,0.41385,1,0,6.7,0,36,1,0,0,1,0,0,15.5,0.0,0,1,0,0,1,1,0,1,0,0,3.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,233.85,0,1,0,0.0,13.100000000000001,0,11,1,0.0,15,0,0,30.0,0,0,0,0,0,1,0,0,10,0,0.0,0,0,4.23615,0,1,19,0,1,0.0,0,0,0,0,7.0,0,0,7,0,0,0,-1,0,0,16.0,0,0,24.0,0,1,0,1,1,1,0,0.0,0
30,0,0.0,0.0,1,47,0,0,0,0,0,0.0312,0,0,12.25,0,55,0,0,0,1,0,0,6.5,0.0,0,0,1,1,0,1,0,0,0,0,23.0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,524.4,0,0,0,0.0,35.0,1,17,1,0.0,25,1,1,80.0,0,0,0,1,0,0,1,0,21,1,1000.0,0,0,5.1688,0,0,14,1,1,22.25,1,0,0,1,9.0,0,0,7,1,0,0,-1,0,0,27.0,0,0,25.0,0,0,0,1,0,1,0,0.0,0
31,0,1275.40625,2213.625,0,71,0,1,0,1,0,1.2093120000000002,1,0,32.825,0,60,0,0,0,1,0,0,7.8,51.25,0,0,1,0,1,1,0,0,0,0,13.0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,2126.825,1,0,0,224.90625,25.200000000000003,0,29,1,55.15,20,0,0,51.0,0,0,1,1,1,0,0,0,38,0,2090.0,1,0,2.768688,0,0,18,0,1,28.5,1,0,0,0,2.0,0,0,0,1,0,0,13,1,0,27.0,0,0,26.0,0,0,1,1,1,2,1,52.40625,0
32,0,0.0,52.6,0,3,0,0,0,0,0,0.26292000000000004,1,0,5.5,0,59,0,0,0,1,0,0,2.8000000000000003,19.75,1,0,1,1,0,1,0,0,0,0,4.0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,19.35,0,0,0,0.0,-1.0,0,1,0,0.0,29,1,0,30.0,0,0,0,1,0,0,0,0,2,0,45.0,0,0,0.5770799999999999,0,0,8,0,0,30.0,0,0,1,1,1.0,0,0,0,1,0,0,10,0,0,6.0,0,0,15.0,0,1,0,1,0,4,1,0.0,0
33,0,0.0,0.0,0,16,0,0,0,0,0,0.15055200000000002,0,0,7.85,0,28,0,0,1,1,1,0,8.200000000000001,0.0,0,1,1,0,0,1,0,1,0,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,116.3,1,0,0,0.0,8.200000000000001,0,6,1,0.0,30,0,0,17.0,0,0,0,0,0,0,0,0,7,0,0.0,0,0,1.243448,0,0,11,0,1,0.0,0,0,0,0,1.0,0,0,0,0,0,0,14,0,0,5.0,0,0,23.0,0,1,0,1,0,6,0,0.0,0
34,0,1275.40625,1042.4,0,36,0,1,0,0,0,4.58127075,1,0,3.4,1,53,1,0,0,1,0,0,9.9,29.0,0,1,1,0,1,1,1,0,1,0,11.0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,122.0,0,1,0,224.90625,-1.0,0,8,0,49.25,10,0,0,131.5,0,0,0,1,0,0,0,0,13,1,790.0,1,0,4.369167000000001,1,0,20,0,1,22.25,1,0,0,1,1.0,1,0,0,0,0,0,17,0,0,20.0,1,0,23.0,0,0,1,1,0,3,1,52.40625,0
35,0,1123.6,0.0,0,38,0,0,0,0,0,0.8889300000000001,0,0,6.75,0,36,0,0,0,1,0,0,8.3,0.0,0,1,0,1,1,0,0,0,0,0,5.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,244.7,0,0,0,0.0,21.200000000000003,0,11,1,27.4,29,0,0,45.0,0,0,0,0,0,1,1,0,13,0,0.0,0,0,2.84607,0,0,12,0,1,0.0,0,0,0,0,3.0,0,0,0,1,0,0,-1,0,1,6.0,0,0,26.0,0,0,1,1,0,2,0,0.0,0
36,0,1275.40625,0.0,0,69,0,1,0,0,1,3.3033440000000005,1,0,22.05,0,47,0,0,0,1,0,0,13.700000000000001,0.0,1,1,0,0,1,0,1,0,1,0,17.0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1473.3,0,0,0,224.90625,63.949999999999996,1,27,1,44.85,22,0,0,131.5,0,0,0,0,0,1,0,0,29,1,1885.0,1,0,9.316497750000002,0,0,20,1,1,28.25,0,0,0,0,2.0,1,1,0,0,0,0,19,0,0,20.0,0,1,21.0,0,0,0,1,0,2,0,36.45,0
37,1,0.0,1058.0,0,46,1,0,0,1,1,0.03888,0,0,19.8,0,75,0,0,0,0,0,0,2.4,24.75,1,0,1,1,0,1,0,1,0,1,2.0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,884.75,0,0,0,0.0,4.9,0,15,1,0.0,21,0,0,10.0,0,0,0,0,1,0,0,0,23,0,640.0,0,1,0.20112,0,0,11,0,0,14.0,0,0,0,1,1.0,0,0,0,1,0,1,-1,0,0,35.0,0,0,24.0,0,0,1,1,0,1,1,0.0,0
38,0,1275.40625,598.55,1,31,0,1,0,1,1,1.4372239999999998,0,0,7.0,1,49,1,1,0,1,0,0,9.2,19.5,0,1,0,0,1,1,0,0,0,1,3.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,238.0,0,0,0,224.90625,33.9,1,13,1,57.25,22,1,0,73.0,0,0,0,0,0,0,0,0,13,0,0.0,1,0,5.278776000000001,1,0,22,0,1,0.0,0,0,0,0,12.5,1,0,10,1,0,0,20,0,0,20.0,0,0,19.0,0,1,1,1,0,5,1,52.40625,0
39,0,0.0,775.6,1,41,0,0,0,0,1,0.5934599999999999,0,0,13.0,0,59,0,0,0,1,0,0,6.0,19.25,0,0,1,0,1,1,0,0,0,0,15.0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,479.0,0,0,0,224.90625,36.2,0,15,1,0.0,13,0,0,63.0,0,0,0,1,0,0,0,0,13,0,330.0,0,0,3.18654,0,1,13,0,1,9.0,0,0,0,1,0.0,0,0,0,0,0,0,-1,1,0,25.0,0,0,16.0,0,0,1,1,0,1,1,19.35,0
40,0,0.0,2213.625,0,49,1,0,0,0,0,1.0863,0,0,9.3,0,55,0,0,0,1,0,0,5.1,53.5,0,0,1,0,0,1,0,0,0,0,10.0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,465.5,0,0,0,0.0,31.8,0,15,1,0.0,29,0,0,50.0,0,0,1,1,1,0,0,0,22,0,2060.0,1,0,1.4636999999999998,0,1,12,0,0,42.0,0,0,0,1,0.0,0,0,0,0,0,0,11,0,0,32.0,0,0,21.0,0,0,0,1,0,3,1,0.0,0
41,0,1275.40625,0.0,0,46,0,0,0,1,0,1.218,0,0,14.45,0,25,0,0,0,1,0,0,10.5,0.0,0,1,0,0,0,1,0,0,0,1,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,659.35,0,0,0,0.0,-1.0,1,7,0,29.75,22,0,0,50.0,0,0,0,0,1,0,0,0,7,0,1150.0,1,0,4.032,0,0,14,0,1,26.5,0,0,0,0,1.0,0,0,0,0,0,0,-1,1,0,3.0,0,1,15.0,0,0,1,1,0,5,0,0.0,0
42,0,0.0,0.0,0,31,1,0,1,0,0,1.6354240000000002,1,0,5.0,0,78,0,0,0,1,1,0,9.8,0.0,0,1,0,0,0,0,0,1,0,0,30.0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,133.35,0,0,1,0.0,15.8,0,12,1,0.0,20,0,0,28.0,0,0,1,0,0,0,0,0,14,0,295.0,0,1,1.108576,0,0,11,0,0,10.75,0,0,1,0,9.0,0,0,9,1,0,1,15,0,0,36.0,0,0,34.0,0,0,0,1,0,2,0,0.0,0
43,0,0.0,763.75,0,23,0,0,0,0,0,2.0515770000000004,0,0,6.5,0,48,0,0,0,1,0,0,18.7,34.75,1,0,1,0,0,1,0,1,0,0,2.0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,169.8,0,0,0,224.90625,9.3,0,10,1,0.0,28,0,0,23.0,0,0,1,0,0,0,0,0,11,0,345.0,0,0,2.2494229999999997,0,0,11,0,0,15.75,0,0,0,1,9.0,0,0,7,0,0,1,-1,1,0,22.0,0,0,23.0,1,0,0,1,0,2,1,19.7,0
44,0,516.3,0.0,0,21,0,0,0,0,1,0.1023,0,0,6.15,0,47,0,1,0,1,0,0,2.1999999999999997,0.0,0,1,0,0,1,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,141.25,0,0,0,0.0,46.1,0,12,1,26.35,19,0,0,75.0,0,0,0,0,0,1,0,0,15,0,290.0,0,0,1.5476999999999999,1,1,19,1,0,13.75,0,0,0,0,6.0,0,1,6,0,1,0,21,0,0,24.0,0,0,22.0,0,0,0,1,1,2,0,0.0,0
45,0,0.0,368.3,0,16,1,0,0,0,1,0.394548,1,0,4.3,0,75,0,0,0,1,0,0,3.3000000000000003,22.5,1,0,0,0,0,1,0,1,0,0,11.0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,75.0,0,0,0,0.0,13.8,0,6,1,0.0,12,0,0,28.0,0,0,0,0,0,0,0,0,3,0,0.0,0,0,0.529452,0,1,10,0,0,0.0,1,0,1,0,0.0,0,0,0,1,0,0,10,0,0,13.0,0,0,20.0,0,0,0,1,0,2,1,0.0,0
